287,gold,金,"gold, metal, gold, umbrella, drop, king, jewel, ball, drop2"
288,pig iron,銑,"pig-iron, metal, gold, before, cow, human legs"
289,bowl,鉢,"bowl, metal, gold, origin, book, tree, wood, one"
290,copper,銅,"copper, metal, gold, same, monks, hood, one, mouth"
291,angling,釣,"angling, metal, gold, ladle, bound up, drop"
292,needle,針,"needle, metal, gold, ten, needle"
293,inscription,銘,"inscription, metal, gold, name, evening, mouth"
294,tranquillize,鎮,"tranquilize, metal, gold, true, truth, ten, needle, eye, tool, animal legs, eight"
295,road-way,道,"road-way, neck, horns, drop, eye, road"
296,guidance,導,"guidance, neck, horns, drop, eye, road, glue"
297,crossing,辻,"crossing, cross, ten, needle, road"
298,swift,迅,"swift, fishhook, cross, ten, needle, road"
299,create,造,"create, revelation, cow, mouth, road"
300,urge,迫,"urge, white, dove, road"
301,escape,逃,"escape, turtle, portent, road"
302,environs,辺,"environs, dagger, sword, road"
303,patrol,巡,"patrol, deluge, stream, flood, road"
304,car,車,"car, sun, ten, needle"
305,take along,連,"take along, car, road"
306,rut,軌,"rut, car, nine, baseball"
307,transport,輸,"transport, car, meeting of butchers, umbrella, one, moon, month, flesh, part of the body, sword, sabre, saber"
309,in front,前,"in front, horns, butcher, moon, month, flesh, part of the body, sword, sabre, saber"
311,each,各,"each, walking legs, mouth"
312,status,格,"status, tree, wood, each, walking legs, mouth"
314,abbreviation,略,"abbreviation, rice field, brains, each, walking legs, mouth"
315,guest,客,"guest, house, each, walking legs, mouth"
316,forehead,額,"forehead, guest, house, each, walking legs, mouth, head, page, one, ceiling, drop, shellfish, clam, oyster, eye, animal legs, eight"
317,summer,夏,"summer, one, ceiling, drop, eye, walking legs"
318,dispose,処,"dispose, walking legs, wind"
319,twig,条,"twig, walking legs, tree, wood"
320,fall,落,"fall, flowers, water, water droplets, water pistol, each, walking legs, mouth"
321,superfluous,冗,"superfluous, crown, weathercock, wind"
323,army,軍,"army, chariot, crown, vehicle, car"
324,radiance,輝,"radiance, ray, small, little, human legs, army, chariot, crown, vehicle, car"
325,carry,運,"carry, army, chariot, crown, vehicle, car, road"
326,crown,冠,"crown, beginning, two, human legs, glue"
327,dream,夢,"dream, flowers, eye, cross-eyed, net, crown, evening"
328,pit,坑,"pit, soil, dirt, ground, whirlwind, top hat, wind"
329,tall,高,"tall, top hat, mouth, alien, hood, mouth, mouth2"
330,receive,享,"receive, tall, top hat, mouth, children"
331,cram school,塾,"cram school, receive, tall, top hat, mouth, child, children, round, nine, baseball, drop, soil, dirt, ground"
332,mellow,熟,"mellow, receive, tall, top hat, mouth, child, children, round, nine, baseball, drop, oven-fire, barbecue"
333,pavilion,亭,"pavilion, tall, top hat, mouth, crown, street, nail, spike"
334,capital,京,"capital, tall, top hat, mouth, small, little"
335,refreshing,涼,"refreshing, water droplets, water pistol capital, tall, top hat, mouth, small, little"
336,scenery,景,"scenery, sun, day, capital, tall, top hat, mouth, small, little"
337,whale,鯨,"whale, fish, bound up, rice field, brains, oven-fire, barbecue, capital, tall, top hat, mouth, small, little"
338,cottage,舎,"cottage, umbrella, earthenware jar, lidded crock, soil, dirt, ground, mouth"
